lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC000001	1080.0	657.0	2572.0	1611.0	475.0	3332.0	3958.0	3248.0	1159.0	5130.0	2697.0	3305.0	1998.0	3409.0	783.0	1349.0	1799.0	681.0	1318.0	1487.0	4208.0	1266.0	5651.0	3992.0	992.0	5763.0	6999.0	5191.0	4083.0	5481.0	228.0	496.0	479.0	2606.0	89358.3	1212907.0	1724108.75314
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110033	922.0	617.0	2318.0	1569.0	460.0	2784.0	4704.0	3447.0	1052.0	5468.0	2615.0	3386.0	1662.0	3248.0	633.0	1445.0	1625.0	679.0	1560.0	1437.0	4179.0	1391.0	4821.0	3733.0	896.0	5726.0	8053.0	4984.0	3610.0	3379.0	249.0	492.0	340.0	2578.0	86053.8	1152714.0	1551647.39199
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110037	1445.0	491.0	2142.0	1408.0	580.0	3543.0	5025.0	3464.0	801.0	4734.0	2721.0	2978.0	1902.0	3347.0	741.0	1298.0	1264.0	669.0	1197.0	1254.0	4168.0	1067.0	4871.0	3591.0	727.0	5973.0	7762.0	5372.0	4216.0	4591.0	259.0	516.0	463.0	2498.0	87068.4	1171647.0	1509521.54337
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110045	1023.0	754.0	2038.0	1456.0	581.0	3250.0	4646.0	3293.0	1056.0	4855.0	2793.0	2644.0	1806.0	3274.0	665.0	1223.0	1744.0	680.0	1346.0	1186.0	3950.0	1370.0	4649.0	3398.0	856.0	5015.0	8086.0	4787.0	3639.0	3483.0	240.0	446.0	456.0	2449.0	83135.0	1157715.0	1570425.15683
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110056	853.0	548.0	1842.0	1231.0	546.0	3185.0	3740.0	3588.0	980.0	4240.0	2386.0	3078.0	1552.0	2919.0	591.0	1212.0	1388.0	667.0	1167.0	1343.0	3595.0	1161.0	4011.0	3192.0	770.0	5406.0	6850.0	4804.0	3619.0	3665.0	275.0	481.0	452.0	2473.0	77803.4	1065452.0	1457247.68367
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110062	1273.0	1069.0	2330.0	1555.0	438.0	3973.0	4850.0	4271.0	1097.0	5813.0	3101.0	2826.0	2197.0	3953.0	747.0	1659.0	1542.0	825.0	1466.0	1480.0	4629.0	1527.0	5719.0	4743.0	1017.0	6522.0	8185.0	6151.0	4741.0	4888.0	236.0	528.0	522.0	2672.0	98544.8	1334147.0	1750602.55154
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110069	1130.0	548.0	2416.0	1440.0	595.0	3129.0	4364.0	3180.0	975.0	4841.0	2705.0	2497.0	1654.0	3117.0	666.0	1408.0	1325.0	631.0	1182.0	1276.0	3820.0	1033.0	4750.0	3651.0	958.0	5332.0	8276.0	5363.0	4045.0	3848.0	226.0	509.0	445.0	2227.0	83562.4	1120212.0	1548427.91005
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110087	861.0	408.0	2293.0	1447.0	568.0	3429.0	4205.0	3028.0	729.0	5230.0	2722.0	2838.0	1652.0	2816.0	722.0	1344.0	1437.0	671.0	1227.0	1159.0	3859.0	1154.0	4627.0	3137.0	729.0	4956.0	6917.0	3967.0	3559.0	3427.0	251.0	578.0	395.0	2534.0	78879.9	1050085.0	1417241.90928
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110098	1071.0	684.0	2824.0	1692.0	564.0	3016.0	4479.0	3405.0	1189.0	5185.0	2951.0	3566.0	1987.0	3434.0	720.0	1503.0	1714.0	808.0	1597.0	1765.0	4331.0	1225.0	5071.0	4682.0	1046.0	6618.0	8605.0	6345.0	4168.0	4558.0	253.0	483.0	473.0	2569.0	94564.6	1229387.0	1679828.85996
/imaging/camcan/cc700/mri/mindboggle/release001/freesurfer_subjects/CC110101	1199.0	614.0	2660.0	1517.0	448.0	3115.0	5991.0	3742.0	949.0	5663.0	2235.0	3189.0	2028.0	3184.0	595.0	1422.0	1535.0	598.0	1063.0	1337.0	4539.0	1180.0	5398.0	4114.0	750.0	5965.0	8342.0	5154.0	4636.0	5531.0	259.0	518.0	522.0	2465.0	92442.4	1244731.0	1762765.142
