lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-CC321480	982.0	673.0	2033.0	1265.0	448.0	3026.0	3300.0	3095.0	949.0	4561.0	2373.0	2658.0	1679.0	2821.0	723.0	1489.0	1586.0	551.0	1213.0	1139.0	3710.0	1109.0	4876.0	3512.0	771.0	5000.0	7897.0	5986.0	3684.0	4094.0	252.0	552.0	501.0	2362.0	80871.4	1097103.0	1539146.680548
sub-CC410026	981.0	548.0	2569.0	1949.0	517.0	3793.0	5506.0	3537.0	1013.0	5727.0	2876.0	3196.0	2004.0	3471.0	635.0	1607.0	1477.0	784.0	1257.0	1867.0	4133.0	1283.0	5708.0	4358.0	945.0	6853.0	9186.0	6338.0	4332.0	4373.0	304.0	665.0	570.0	2532.0	96895.9	1193658.0	1570793.17348
sub-CC410071	734.0	525.0	1740.0	1273.0	260.0	2629.0	3813.0	2947.0	814.0	4210.0	2355.0	2605.0	1652.0	2789.0	545.0	1196.0	1303.0	573.0	1034.0	1134.0	3224.0	871.0	3964.0	3280.0	774.0	4565.0	6024.0	5019.0	3214.0	3013.0	233.0	438.0	336.0	2056.0	71144.1	942062.0	1387825.359185
sub-CC410292	1058.0	989.0	2638.0	1319.0	405.0	3351.0	4153.0	2837.0	1149.0	5054.0	2612.0	3045.0	2090.0	2626.0	583.0	1468.0	1908.0	648.0	1385.0	1002.0	4753.0	1187.0	4659.0	3540.0	935.0	5739.0	6750.0	5161.0	3732.0	4292.0	271.0	488.0	481.0	2532.0	84842.6	1082029.0	1442526.332666
sub-CC410392	962.0	569.0	2826.0	1744.0	511.0	3326.0	4626.0	3990.0	1193.0	6372.0	3336.0	3137.0	1973.0	3234.0	595.0	1435.0	1864.0	861.0	1729.0	1439.0	4752.0	1359.0	5947.0	4116.0	1033.0	6434.0	8900.0	5506.0	4306.0	4175.0	269.0	567.0	523.0	2730.0	96339.0	1232627.0	1792080.469814
sub-CC420163	1146.0	582.0	1998.0	1405.0	420.0	3001.0	4706.0	3017.0	908.0	4817.0	2643.0	2510.0	1792.0	2682.0	690.0	1630.0	1678.0	650.0	1297.0	1154.0	4830.0	1088.0	5774.0	3920.0	851.0	4832.0	8385.0	5826.0	4252.0	4801.0	292.0	446.0	584.0	2639.0	87244.7	1093091.0	1516080.703317
sub-CC420822	1608.0	532.0	2873.0	1530.0	514.0	3407.0	5398.0	4259.0	1080.0	4648.0	3115.0	3237.0	2559.0	3895.0	793.0	1539.0	1790.0	758.0	1193.0	1199.0	4945.0	1147.0	6043.0	5115.0	1038.0	5825.0	9229.0	6006.0	4812.0	4435.0	273.0	569.0	594.0	2439.0	98395.4	1271686.0	1713414.443334
sub-CC420839	639.0	557.0	2174.0	1435.0	307.0	2836.0	3106.0	3063.0	796.0	4803.0	2472.0	2668.0	1898.0	2643.0	534.0	1219.0	1545.0	759.0	1241.0	1412.0	3523.0	1034.0	4911.0	3296.0	578.0	5207.0	6305.0	5700.0	3574.0	3075.0	198.0	367.0	471.0	1995.0	76342.4	997359.0	1364456.721348
sub-CC420905	852.0	537.0	1768.0	1154.0	404.0	2372.0	3561.0	3304.0	763.0	3434.0	2463.0	2347.0	1796.0	2795.0	584.0	1112.0	1416.0	630.0	1068.0	1270.0	3328.0	1023.0	3729.0	2968.0	643.0	5126.0	5940.0	4034.0	3224.0	3406.0	249.0	437.0	346.0	1888.0	69968.4	924793.0	1302118.020858
sub-CC510181	866.0	630.0	2049.0	1473.0	355.0	2902.0	3991.0	3547.0	1237.0	4519.0	2928.0	2544.0	2275.0	3393.0	560.0	1322.0	1458.0	778.0	1305.0	1167.0	4060.0	1334.0	5032.0	3540.0	673.0	5419.0	7098.0	4567.0	3779.0	3613.0	258.0	446.0	481.0	2537.0	82137.3	1094356.0	1601531.958559
