record_id,redcap_event_name,question_num_years_edu
110019,phase_1_arm_1,13
110033,phase_1_arm_1,16
110037,phase_1_arm_1,13
110038,phase_1_arm_1,18
110045,phase_1_arm_1,18
110056,phase_1_arm_1,16
110059,phase_1_arm_1,11
110062,phase_1_arm_1,13
110063,phase_1_arm_1,13
110069,phase_1_arm_1,16
110086,phase_1_arm_1,16
110087,phase_1_arm_1,16
110089,phase_1_arm_1,11
110098,phase_1_arm_1,11
110101,phase_1_arm_1,16
110115,phase_1_arm_1,11
110126,phase_1_arm_1,16
110133,phase_1_arm_1,16
110165,phase_1_arm_1,13
110174,phase_1_arm_1,16
110177,phase_1_arm_1,13
110182,phase_1_arm_1,13
110187,phase_1_arm_1,18
110192,phase_1_arm_1,13
110201,phase_1_arm_1,18
110261,phase_1_arm_1,13
110319,phase_1_arm_1,16
110338,phase_1_arm_1,16
110398,phase_1_arm_1,16
110409,phase_1_arm_1,16
110411,phase_1_arm_1,16
110417,phase_1_arm_1,11
110449,phase_1_arm_1,16
110458,phase_1_arm_1,16
110474,phase_1_arm_1,13
110500,phase_1_arm_1,16
110593,phase_1_arm_1,16
110594,phase_1_arm_1,11
110606,phase_1_arm_1,11
112049,phase_1_arm_1,13
112095,phase_1_arm_1,11
112141,phase_1_arm_1,16
112164,phase_1_arm_1,16
112173,phase_1_arm_1,11
120008,phase_1_arm_1,16
120018,phase_1_arm_1,11
120038,phase_1_arm_1,16
120044,phase_1_arm_1,13
120048,phase_1_arm_1,16
120049,phase_1_arm_1,18
120061,phase_1_arm_1,13
120065,phase_1_arm_1,16
120072,phase_1_arm_1,16
120075,phase_1_arm_1,16
120084,phase_1_arm_1,18
120089,phase_1_arm_1,16
120109,phase_1_arm_1,16
120111,phase_1_arm_1,16
120120,phase_1_arm_1,11
120123,phase_1_arm_1,13
120137,phase_1_arm_1,11
120141,phase_1_arm_1,16
120142,phase_1_arm_1,16
120145,phase_1_arm_1,13
120150,phase_1_arm_1,16
120151,phase_1_arm_1,11
120153,phase_1_arm_1,13
120166,phase_1_arm_1,16
120182,phase_1_arm_1,13
120184,phase_1_arm_1,16
120197,phase_1_arm_1,11
120208,phase_1_arm_1,11
120212,phase_1_arm_1,11
120218,phase_1_arm_1,18
120222,phase_1_arm_1,11
120234,phase_1_arm_1,18
120249,phase_1_arm_1,13
120264,phase_1_arm_1,18
120267,phase_1_arm_1,13
120276,phase_1_arm_1,16
120286,phase_1_arm_1,16
120309,phase_1_arm_1,16
120313,phase_1_arm_1,16
120319,phase_1_arm_1,16
120335,phase_1_arm_1,16
120347,phase_1_arm_1,13
120349,phase_1_arm_1,16
120376,phase_1_arm_1,13
120400,phase_1_arm_1,13
120409,phase_1_arm_1,11
120410,phase_1_arm_1,16
120415,phase_1_arm_1,13
120442,phase_1_arm_1,13
120446,phase_1_arm_1,11
120462,phase_1_arm_1,11
120469,phase_1_arm_1,18
120470,phase_1_arm_1,16
120494,phase_1_arm_1,13
120496,phase_1_arm_1,13
120535,phase_1_arm_1,11
120538,phase_1_arm_1,11
120545,phase_1_arm_1,13
120550,phase_1_arm_1,13
120559,phase_1_arm_1,16
120570,phase_1_arm_1,16
120573,phase_1_arm_1,16
120584,phase_1_arm_1,16
120640,phase_1_arm_1,18
120644,phase_1_arm_1,13
120662,phase_1_arm_1,13
120672,phase_1_arm_1,11
120727,phase_1_arm_1,16
120741,phase_1_arm_1,13
120764,phase_1_arm_1,18
120774,phase_1_arm_1,16
120778,phase_1_arm_1,11
120795,phase_1_arm_1,16
120813,phase_1_arm_1,11
120816,phase_1_arm_1,11
120828,phase_1_arm_1,13
120865,phase_1_arm_1,16
120867,phase_1_arm_1,13
120908,phase_1_arm_1,13
120962,phase_1_arm_1,16
120987,phase_1_arm_1,13
121035,phase_1_arm_1,13
121038,phase_1_arm_1,13
121055,phase_1_arm_1,16
121085,phase_1_arm_1,13
121106,phase_1_arm_1,18
121111,phase_1_arm_1,11
121144,phase_1_arm_1,13
121151,phase_1_arm_1,16
121158,phase_1_arm_1,16
121183,phase_1_arm_1,16
121188,phase_1_arm_1,11
121194,phase_1_arm_1,11
121200,phase_1_arm_1,18
121208,phase_1_arm_1,13
121283,phase_1_arm_1,11
121317,phase_1_arm_1,16
121321,phase_1_arm_1,13
121338,phase_1_arm_1,11
121365,phase_1_arm_1,18
121381,phase_1_arm_1,16
121397,phase_1_arm_1,18
121411,phase_1_arm_1,16
121416,phase_1_arm_1,11
121428,phase_1_arm_1,16
121431,phase_1_arm_1,16
121442,phase_1_arm_1,16
121452,phase_1_arm_1,13
121479,phase_1_arm_1,16
121491,phase_1_arm_1,16
121493,phase_1_arm_1,15
121496,phase_1_arm_1,13
121525,phase_1_arm_1,13
121527,phase_1_arm_1,16
121602,phase_1_arm_1,16
121604,phase_1_arm_1,13
121634,phase_1_arm_1,11
121642,phase_1_arm_1,16
121685,phase_1_arm_1,11
121735,phase_1_arm_1,13
121795,phase_1_arm_1,16
121841,phase_1_arm_1,18
121850,phase_1_arm_1,16
121857,phase_1_arm_1,18
121908,phase_1_arm_1,13
121916,phase_1_arm_1,13
121929,phase_1_arm_1,16
121962,phase_1_arm_1,16
122016,phase_1_arm_1,16
122028,phase_1_arm_1,11
122029,phase_1_arm_1,16
122050,phase_1_arm_1,11
122059,phase_1_arm_1,16
122062,phase_1_arm_1,13
122103,phase_1_arm_1,16
122172,phase_1_arm_1,16
122272,phase_1_arm_1,16
122279,phase_1_arm_1,18
122297,phase_1_arm_1,13
122309,phase_1_arm_1,16
122368,phase_1_arm_1,11
122405,phase_1_arm_1,16
122453,phase_1_arm_1,13
122484,phase_1_arm_1,11
122542,phase_1_arm_1,13
122555,phase_1_arm_1,11
122572,phase_1_arm_1,11
122620,phase_1_arm_1,13
122632,phase_1_arm_1,16
122640,phase_1_arm_1,11
122801,phase_1_arm_1,13
122861,phase_1_arm_1,16
122887,phase_1_arm_1,16
122921,phase_1_arm_1,16
123012,phase_1_arm_1,16
123030,phase_1_arm_1,16
123091,phase_1_arm_1,16
123142,phase_1_arm_1,13
123381,phase_1_arm_1,18
123611,phase_1_arm_1,13
210003,phase_1_arm_1,13
210005,phase_1_arm_1,16
210008,phase_1_arm_1,16
210009,phase_1_arm_1,18
210023,phase_1_arm_1,11
210039,phase_1_arm_1,16
210041,phase_1_arm_1,16
210043,phase_1_arm_1,15
210051,phase_1_arm_1,16
210055,phase_1_arm_1,16
210057,phase_1_arm_1,16
210088,phase_1_arm_1,16
210092,phase_1_arm_1,16
210124,phase_1_arm_1,16
210132,phase_1_arm_1,18
210142,phase_1_arm_1,16
210148,phase_1_arm_1,11
210162,phase_1_arm_1,16
210172,phase_1_arm_1,13
210173,phase_1_arm_1,13
210174,phase_1_arm_1,18
210182,phase_1_arm_1,15
210191,phase_1_arm_1,16
210194,phase_1_arm_1,16
210249,phase_1_arm_1,16
210250,phase_1_arm_1,16
210263,phase_1_arm_1,11
210284,phase_1_arm_1,16
210303,phase_1_arm_1,16
210304,phase_1_arm_1,18
210314,phase_1_arm_1,13
210325,phase_1_arm_1,16
210327,phase_1_arm_1,16
210328,phase_1_arm_1,16
210349,phase_1_arm_1,11
210354,phase_1_arm_1,11
210357,phase_1_arm_1,11
210365,phase_1_arm_1,13
210368,phase_1_arm_1,13
210369,phase_1_arm_1,16
210375,phase_1_arm_1,11
210402,phase_1_arm_1,16
210405,phase_1_arm_1,11
210411,phase_1_arm_1,18
210422,phase_1_arm_1,18
210441,phase_1_arm_1,16
210446,phase_1_arm_1,16
210448,phase_1_arm_1,16
210455,phase_1_arm_1,16
210465,phase_1_arm_1,11
210470,phase_1_arm_1,11
210483,phase_1_arm_1,16
210500,phase_1_arm_1,18
210519,phase_1_arm_1,16
210526,phase_1_arm_1,16
210577,phase_1_arm_1,16
210592,phase_1_arm_1,16
210601,phase_1_arm_1,16
210607,phase_1_arm_1,16
210615,phase_1_arm_1,13
210617,phase_1_arm_1,18
210626,phase_1_arm_1,16
210633,phase_1_arm_1,16
210647,phase_1_arm_1,13
210657,phase_1_arm_1,15
210672,phase_1_arm_1,16
210677,phase_1_arm_1,16
212056,phase_1_arm_1,18
212062,phase_1_arm_1,16
212073,phase_1_arm_1,16
212119,phase_1_arm_1,13
212153,phase_1_arm_1,16
212208,phase_1_arm_1,16
212228,phase_1_arm_1,16
220001,phase_1_arm_1,16
220005,phase_1_arm_1,16
220011,phase_1_arm_1,16
220012,phase_1_arm_1,16
220014,phase_1_arm_1,18
220019,phase_1_arm_1,16
220020,phase_1_arm_1,16
220024,phase_1_arm_1,16
220025,phase_1_arm_1,11
220036,phase_1_arm_1,16
220040,phase_1_arm_1,16
220054,phase_1_arm_1,11
220055,phase_1_arm_1,18
220082,phase_1_arm_1,16
220098,phase_1_arm_1,11
220105,phase_1_arm_1,13
220107,phase_1_arm_1,16
220115,phase_1_arm_1,16
220120,phase_1_arm_1,16
220123,phase_1_arm_1,16
220132,phase_1_arm_1,13
220137,phase_1_arm_1,15
220140,phase_1_arm_1,16
220151,phase_1_arm_1,16
220166,phase_1_arm_1,18
220184,phase_1_arm_1,13
220198,phase_1_arm_1,18
220203,phase_1_arm_1,11
220205,phase_1_arm_1,16
220217,phase_1_arm_1,16
220223,phase_1_arm_1,18
220232,phase_1_arm_1,16
220234,phase_1_arm_1,13
220236,phase_1_arm_1,13
220238,phase_1_arm_1,16
220250,phase_1_arm_1,13
220283,phase_1_arm_1,13
220284,phase_1_arm_1,16
220296,phase_1_arm_1,16
220298,phase_1_arm_1,18
220300,phase_1_arm_1,18
